tenure_months,monthly_usage_hours,has_multiple_devices,customer_support_calls,payment_failures,is_premium_plan,churn
7,21.248535806112695,0,0,0,0,0
21,3.935231947424885,1,2,0,1,0
9,23.975158968925175,1,0,1,1,0
39,25.590847074476034,0,3,0,1,0
18,19.79877862653907,0,1,0,1,0
4,20.419907887473773,0,3,0,0,0
25,20.368194464701197,0,0,1,0,0
14,16.07779040629377,0,0,0,0,0
50,22.158528926607403,0,1,0,0,0
58,18.842959991733714,0,0,0,0,0
9,24.65145854644809,0,3,0,0,0
26,19.43186532740385,0,4,0,1,0
53,15.694884467558705,0,0,0,0,0
2,12.320676645672448,0,1,0,0,0
20,10.67967587472144,0,1,0,0,0
28,26.562546719772175,0,2,0,0,0
47,17.711053235704902,1,3,0,1,0
7,21.692870950408242,1,3,1,0,0
44,28.916149458722593,0,2,0,0,0
8,17.185978343510545,1,1,0,1,0
47,16.862612578094232,0,4,0,0,0
35,19.339191238223382,1,1,0,0,0
14,20.147163502099964,1,0,0,0,0
17,29.43775675127923,0,1,0,1,0
36,27.829102970470565,0,2,0,0,0
50,23.104377079533737,0,1,0,0,0
40,27.24706884498434,1,0,0,0,0
4,19.10890493716072,1,0,0,0,0
2,21.49582283594239,0,2,0,0,1
6,18.492431777306525,1,1,1,0,0
54,13.548158087101802,0,1,0,0,0
42,26.019373708967976,1,2,0,0,0
4,22.6584936699493,1,0,0,1,0
54,20.09036736711832,1,3,0,0,0
29,19.987660753439123,1,0,0,0,0
18,12.468925645467458,1,1,0,1,0
26,15.112623334236423,0,3,0,0,0
44,21.680765850570126,1,3,0,1,0
34,17.35443666362747,0,1,1,1,0
10,18.911434793912548,0,0,0,0,0
36,19.47671967610449,0,0,1,1,0
14,16.58765615491445,0,1,0,0,0
31,15.160408399879747,0,1,1,0,0
48,11.938211845373132,1,1,0,0,0
15,19.267408604942297,0,1,0,1,0
8,23.093042738051416,1,0,0,0,0
14,11.781829288900248,0,0,0,0,0
23,19.879760874500867,1,1,0,1,0
57,21.405716263457805,0,3,1,0,0
40,15.052097981354276,1,0,0,1,0
21,27.11070905774044,0,3,0,0,0
16,18.07142315480796,0,1,0,0,0
45,19.493701557717444,0,0,0,0,0
18,19.193652497010106,0,3,1,1,0
47,11.14612788704472,0,3,0,1,0
53,25.04376035842022,0,2,1,0,0
24,15.222406157903812,0,1,0,0,0
26,18.817397422971318,0,0,0,1,0
25,22.98830500638998,1,1,0,1,0
45,27.30451713072267,0,1,0,0,0
41,14.600338590515804,0,1,1,0,0
29,17.767582072027864,0,0,0,1,0
15,26.912093150035766,0,2,0,0,0
45,22.318569396377235,0,2,0,0,0
1,23.355856795258042,0,1,0,1,0
25,14.744341321119162,0,1,0,0,0
7,18.10395235036721,0,0,0,0,0
9,19.160822838097847,1,0,0,0,0
24,15.71052621328513,0,1,0,1,0
1,11.627151871630465,1,1,0,0,1
44,17.44750720618202,1,4,0,1,0
8,26.77144099792215,1,2,0,0,0
24,20.29586732780248,1,5,0,1,0
11,26.87145456786688,1,1,0,0,0
51,20.8951045711476,1,0,0,0,0
17,16.176461352060187,0,1,0,0,0
8,26.38809506615861,1,3,0,1,0
35,21.061630703339496,1,0,0,0,0
35,24.809194162136986,0,3,0,0,0
33,14.658359144397142,0,0,0,0,0
59,25.193781448072517,0,1,0,0,0
5,25.344446377720992,0,1,0,1,0
42,21.44883572178268,0,0,0,1,0
39,15.965389570951087,0,0,0,1,0
58,19.76995585643694,0,1,0,0,0
41,23.05645573619122,0,3,0,0,0
28,21.17285009968267,0,1,0,0,0
7,23.00541369053882,1,5,0,0,0
9,25.061229538264527,1,1,0,0,0
8,16.757766733140393,0,2,0,0,0
12,14.224621895199304,0,1,0,1,0
34,19.81230599313879,1,0,0,0,0
33,18.35128420565066,0,0,1,0,0
48,23.929232065780752,1,1,0,1,0
55,14.62750805170596,0,0,0,0,0
23,25.1019093708884,0,2,0,1,0
24,26.768060547733832,0,1,0,1,0
37,20.00152482131145,0,2,0,0,0
35,20.303680627906523,0,1,0,0,0
44,16.162267493849235,0,0,0,0,0
40,17.286695505129668,0,1,0,0,0
22,17.95831659677158,0,4,0,0,0
27,27.214700339189655,1,0,0,0,0
35,19.64064607094613,1,0,0,1,0
1,13.389135216799957,0,0,0,0,0
35,21.27677171056002,1,1,0,0,0
37,24.13145062311138,0,0,0,0,0
47,19.872943153392026,0,0,1,0,0
14,27.346067198634948,0,1,0,0,0
3,23.88754333632949,0,0,0,1,0
1,14.754356350560732,1,0,0,0,0
5,17.24283593801799,0,1,0,0,1
26,21.131131407123043,1,1,0,0,0
55,11.669053809866964,0,0,0,0,0
14,21.68178368735307,0,1,0,1,0
39,11.192087863726758,1,0,0,0,0
27,25.11716727782255,0,1,0,0,0
9,24.536368423958542,1,3,0,1,0
15,22.523906804575354,0,1,0,0,0
15,16.62060817823844,1,1,0,1,0
26,20.851014123067696,1,1,0,0,0
42,17.433112562426754,1,3,0,0,0
13,14.845923612749669,1,0,0,0,0
51,18.306284941142945,1,2,0,0,0
32,23.49132768246048,1,1,0,0,0
39,20.219070964158803,1,1,1,0,0
49,27.253549620672118,1,0,0,0,0
52,23.828902697401375,1,1,0,0,0
32,23.293454069528092,1,1,0,0,0
4,11.95536725277198,1,1,0,0,0
30,18.57420734922361,1,1,0,0,0
37,14.678137947829002,0,2,0,0,0
23,19.08498560188048,1,0,0,0,0
39,16.533619380384216,0,1,0,0,0
45,18.111975234710307,0,1,0,0,0
15,25.30581366186925,0,1,0,0,0
43,22.37624964502917,0,1,0,1,0
29,25.035572144908173,1,4,0,0,0
36,11.996584454920072,0,0,0,0,0
13,20.289873483078317,0,2,0,1,0
32,24.833524906983005,1,2,1,0,0
7,27.531479574435778,0,1,0,0,0
59,12.259558051537535,0,0,0,0,0
51,18.24258181919415,0,4,1,0,0
22,25.171133370023814,0,0,0,1,0
28,19.038608435942773,0,1,0,1,0
2,15.447911629151381,1,0,1,0,1
42,12.250004107519961,0,1,0,1,0
45,15.256492326684166,0,2,0,0,0
57,11.555491657181355,0,0,0,1,0
53,20.292302284170127,0,1,0,0,0
6,24.4815509288933,0,1,0,1,0
28,13.69512620545698,0,1,0,0,0
28,21.288648706055262,1,0,0,0,0
44,24.226355147229334,0,0,0,0,0
44,19.986458365758253,1,1,0,0,0
20,11.946528525413774,0,3,0,0,0
30,21.931057773312517,1,1,0,0,0
11,19.726765276177648,0,3,0,0,0
58,19.217476756995723,0,0,0,0,0
55,17.265813771197678,0,0,0,0,0
28,20.433937131370207,0,0,0,1,0
25,22.5490895422348,1,1,0,0,0
39,31.953240671679243,0,0,0,1,0
33,20.561660341936026,0,1,0,0,0
1,27.555705800063365,1,0,0,0,0
57,21.78877541713438,0,1,0,0,0
27,19.50235836176123,0,1,0,1,0
57,20.742737638556463,0,1,0,0,0
52,13.891318151537453,1,3,0,0,0
13,21.52930135376019,0,1,0,1,0
41,10.039674675893139,1,0,0,0,0
3,15.68666821055734,0,2,0,0,0
39,20.549215465669054,0,2,0,1,0
6,25.96991136589422,1,1,0,0,0
8,27.15312198499197,0,4,0,1,0
27,18.817267101795327,0,1,0,0,0
9,20.778586597652204,1,1,0,0,0
37,24.92181234791014,1,0,0,0,0
33,13.352532139035405,0,2,0,0,0
51,22.023737526577516,0,2,0,1,0
42,15.860535663170955,0,1,0,1,0
44,19.140874776616407,1,0,0,1,0
24,17.704883747528424,0,5,0,0,0
15,22.17679063524074,0,1,0,0,0
59,22.751518370045453,1,1,0,0,0
54,24.455393386986987,0,1,0,0,0
32,21.740994142322243,1,2,0,0,0
32,20.85826884984448,1,1,0,1,0
24,29.27011900219301,0,1,0,0,0
41,12.378204649014114,0,3,0,0,0
52,28.478049300646198,0,1,0,0,0
49,18.550890455658017,0,0,0,0,0
49,22.854457931841527,0,4,0,0,1
58,18.371701597031993,1,2,0,0,0
52,16.48729185224187,0,2,0,1,0
12,22.422885963971144,1,0,0,0,0
39,25.210641543072217,1,1,1,0,0
2,22.365039774837026,1,0,1,1,1
3,17.28942106658559,0,1,0,0,0
49,38.05675031407834,0,1,0,0,0
37,25.99286835433126,1,1,1,1,0
49,24.666711521036262,0,0,0,0,0
56,18.235178846288978,0,1,0,0,0
17,16.874171058554804,1,3,0,0,0
59,18.600804620785304,0,1,0,1,0
49,25.407032721962416,0,0,0,0,0
2,15.04697831462086,0,0,0,0,1
2,14.658980842728415,1,1,0,0,0
28,22.69773766680509,1,1,0,0,0
54,21.5959822232106,0,2,1,0,0
23,16.14843231054552,0,2,0,0,0
37,14.543982107923876,1,0,0,0,0
32,27.18948496684216,0,0,0,0,0
33,21.78502212649781,1,1,0,0,0
1,13.182320681359837,0,0,0,0,0
19,13.53187231958853,0,1,0,0,0
2,18.192440137747653,0,1,0,1,0
53,23.664209034988165,1,0,0,0,0
44,22.9750440105414,0,0,0,0,0
26,25.65839268500609,0,3,0,0,0
32,12.548250962696013,0,1,0,1,0
6,21.119233448898285,0,1,0,0,0
32,27.129551661606804,0,1,0,1,0
55,26.664008652380495,0,0,1,0,0
4,21.79454990706343,0,0,0,1,0
55,31.74009254326938,1,0,0,0,0
11,23.046425582079298,0,0,0,0,0
56,25.213733164206715,0,0,0,0,0
59,20.222239593877532,0,1,0,0,0
17,16.095123535778566,1,1,0,0,0
38,15.62395399610627,1,1,0,0,0
24,20.9080760739721,0,4,0,0,0
5,18.942489965748965,0,0,0,0,0
52,11.157071650432593,1,0,0,0,0
34,14.871032075371295,0,1,0,1,0
6,18.407982129729536,1,0,0,0,0
22,23.636396879685798,0,0,0,1,0
11,19.91963056918963,1,3,0,0,0
48,19.63967894749743,0,1,0,0,0
16,15.065436864983418,0,3,0,0,0
33,20.115830400310493,0,2,0,0,0
9,26.59550513722994,0,1,0,0,0
59,20.777875563792787,0,1,0,1,0
6,12.46343209259069,1,0,0,0,0
16,13.742386028477345,0,2,0,0,0
29,22.943944386115763,0,1,0,0,0
3,18.8784226238869,0,0,1,0,1
20,19.62709884948243,0,0,1,0,0
59,16.936329124926214,1,2,0,0,0
36,22.517061060999563,0,1,0,0,0
19,18.495411433773253,1,2,0,1,0
26,19.066933891356978,0,2,0,1,0
3,15.743883041684368,0,1,0,1,0
19,24.60845649071385,0,1,0,1,0
20,18.894336041917892,0,0,0,1,0
32,23.0394016655988,0,2,0,0,0
7,14.032042179829912,1,2,0,0,0
52,28.669415691893043,0,2,0,1,0
41,26.386870192566114,0,0,0,1,0
33,10.451011651705366,0,2,0,1,0
40,15.990312624681426,1,1,0,0,0
39,22.388171955049422,0,1,0,0,0
18,13.40135671925498,0,1,0,0,0
40,19.342029589183372,0,3,0,0,0
1,22.133158929883983,0,1,0,1,0
11,19.076370440102583,0,0,0,0,0
28,22.69419351768548,1,0,0,0,0
57,16.53335047699059,0,1,0,0,0
25,8.77909228915939,0,1,0,1,0
50,24.910576560825305,1,3,0,0,0
23,24.879073268012654,0,0,0,1,0
31,32.51818321144167,0,2,0,0,0
30,8.964067410328427,0,1,0,0,0
42,23.754160546734077,1,1,0,1,0
35,10.156589309583065,1,1,0,0,0
7,28.782466408376596,1,2,0,1,0
16,22.43933416848005,0,0,0,0,0
26,15.240355761618734,0,4,0,0,0
48,23.90111237300718,1,1,0,1,0
57,17.23477496141532,1,1,0,0,0
52,21.502080497756346,1,3,0,1,0
49,21.02980358104542,0,2,0,0,0
2,28.720840680736472,0,5,0,0,1
1,29.07462955043256,0,0,0,0,0
48,17.01367313363247,0,0,0,0,0
12,25.29052808998018,0,1,0,0,0
5,21.774200777851487,0,1,0,0,0
37,12.93658966496544,1,0,0,0,0
32,16.5188580981391,0,1,0,0,0
59,31.68073049799812,1,0,0,0,0
55,21.789272005523276,0,0,0,0,0
9,24.99889789758761,1,0,0,0,0
41,18.939778438165046,0,3,0,0,0
35,17.30029042640329,0,1,0,1,0
19,20.136322538172372,1,3,0,0,0
48,18.669479723768916,0,1,0,1,0
16,12.533735344842007,0,0,0,0,0
3,14.98337271272984,0,1,0,0,0
20,23.539422572061156,0,0,0,1,0
24,18.096546554487947,1,2,0,1,0
54,20.128524410139537,0,0,0,0,0
56,21.174615252486053,0,0,0,0,0
33,21.565250244093598,1,1,0,0,0
24,25.732895306576854,0,1,0,1,0
52,14.506520924657341,1,2,0,0,0
11,22.85126361771812,0,3,0,0,0
49,23.775138967598238,0,3,0,1,0
8,24.92925889500753,0,0,0,0,0
36,12.935412002925638,0,1,0,1,0
38,21.27409609173499,0,0,0,0,0
40,28.580379731992586,1,0,0,1,0
20,19.504397404216885,0,2,0,1,0
35,22.417473509821455,0,2,0,0,0
48,23.901977972925923,0,0,0,1,0
25,14.872650778008698,1,3,0,1,0
35,29.16912364499987,0,0,0,1,0
25,22.497503984844517,1,2,1,0,1
29,22.59751407096713,1,3,0,0,0
18,11.689863109947325,0,1,0,1,0
46,23.972723991066566,0,0,0,0,0
18,22.532051706895686,1,3,0,0,0
2,28.12095663861032,0,0,0,0,0
54,18.443673928478233,0,1,0,1,0
35,15.061708352007791,1,1,0,0,0
16,16.588805026128334,0,0,0,0,0
41,17.475108824963506,0,1,0,1,0
36,14.405767409343131,0,0,0,0,0
33,26.450800118829967,1,2,1,0,0
4,26.638489314658333,0,2,0,0,1
33,19.021041494299723,0,1,0,0,0
14,18.03620038957903,1,0,0,1,0
21,10.922590433403439,0,1,0,1,0
48,23.479806276518023,0,1,0,1,0
20,28.267200544129217,1,2,0,0,0
56,16.814026413702216,0,1,0,1,0
8,19.41607737111801,0,1,0,1,0
7,22.171457306578652,1,0,0,1,0
3,28.62209180304953,0,1,0,1,0
17,20.99888110917547,1,0,0,0,0
33,20.977149580132593,0,0,0,0,0
48,20.896592505799017,0,5,0,1,0
12,12.874837465481635,1,2,0,1,0
59,12.766046730850675,0,1,0,0,0
51,15.960024154425637,0,1,0,0,0
22,25.064452870186862,1,0,0,0,0
55,18.323214647270035,0,1,0,1,0
22,17.351979755988538,0,3,0,1,0
46,17.264126979281162,0,0,0,0,0
30,19.311715607636614,0,2,0,0,0
38,28.5105396705082,0,0,0,0,0
38,19.24401307151439,0,0,0,0,0
45,16.06851297312571,0,0,0,0,0
51,20.126228145408163,0,3,0,0,0
54,28.775418028807685,0,3,0,0,0
8,17.48587640532192,1,0,0,1,0
27,14.094974957845274,0,1,0,1,0
27,17.495043651347913,0,1,0,0,0
34,20.643818681742165,1,1,0,0,0
21,23.441204754126698,1,0,0,1,0
30,25.03441789341123,1,0,0,0,0
33,14.77141363018836,1,2,0,0,0
28,15.24577332770465,1,0,0,1,0
47,18.38368870306255,1,1,0,0,0
33,23.42246512348448,0,0,1,0,0
5,13.699960511738723,0,2,0,0,0
48,16.963365447911514,0,2,0,0,0
19,17.03628135294026,0,2,1,0,0
4,24.708744276821854,0,3,0,0,0
35,22.641303803322188,1,2,0,0,0
49,24.5185918052496,1,2,0,0,0
17,26.693389871165273,1,2,0,0,0
44,18.471749524554596,0,1,0,1,0
28,14.06296922573159,0,1,0,0,0
30,14.0951819107649,0,1,0,1,0
29,10.8094621747058,1,0,0,0,0
46,17.706165851669034,1,2,0,1,0
53,18.07888692584131,1,1,0,0,0
6,23.93776703402524,0,1,0,0,0
35,20.08457108588302,1,3,0,0,0
41,17.54835777828697,0,2,0,0,0
37,19.420006369197072,0,0,0,1,0
24,14.805132581426179,1,3,0,0,0
29,25.127032853756432,1,4,0,0,0
49,16.07042218595246,0,1,0,0,0
46,14.300343640320522,0,1,0,0,0
53,24.08940983353735,0,2,0,0,0
31,22.87082104181926,1,1,0,0,0
35,11.381573107204941,1,5,1,0,0
33,24.27500817355111,1,0,0,0,0
52,16.29203680452972,0,3,0,1,0
21,18.129477362180403,0,0,0,0,0
32,20.935100538469687,1,0,0,0,0
23,22.93312441308411,1,0,0,0,0
33,22.227395873437633,1,0,0,0,0
3,19.750908345469988,1,0,0,0,0
18,17.876783355420446,0,1,0,1,0
25,22.061103467827238,0,4,0,0,0
42,19.40806081327886,0,0,0,0,0
31,29.02677229562962,0,1,0,0,0
54,22.93204504984951,0,3,0,1,0
58,15.382921875048226,1,0,0,0,0
3,17.612000243131742,1,1,0,0,1
40,20.24096088629915,0,1,0,0,0
46,26.497156075352272,0,1,0,0,0
24,27.055525045560675,1,2,0,0,0
50,18.01932639817218,0,2,0,0,0
32,15.331828917052785,1,1,0,0,0
47,14.692511793969063,0,2,0,0,0
22,21.2621437860789,0,3,0,1,0
23,31.518921546087466,0,4,0,0,0
2,22.69547052127551,0,3,0,1,0
27,12.030437366579964,1,1,0,1,0
42,16.369979483769995,0,2,0,0,0
2,16.880428990775435,0,4,0,0,1
26,15.88998739942546,1,0,0,1,0
17,18.060530875328897,0,2,0,0,0
40,21.84697430509971,1,1,1,0,0
33,23.409905846613235,0,1,0,0,0
9,25.45881745458322,0,0,0,1,0
43,22.62101286523589,0,0,0,0,0
54,10.229248798355796,1,2,0,0,0
48,14.713477062343433,0,1,0,0,0
39,19.209529815704045,0,3,0,0,0
29,20.736399278837396,0,0,1,0,0
42,24.307091799381286,1,2,0,0,0
55,20.215920881083864,1,3,0,1,0
26,20.25353626931837,1,2,0,0,0
35,21.188986815695298,0,2,1,0,0
50,18.72489130609399,1,1,0,0,0
25,20.43442569938906,1,1,0,0,0
24,25.629160895058753,0,0,0,0,0
13,19.580445506079986,0,2,0,1,0
58,19.848936366078583,0,0,0,1,0
7,19.832072976164053,0,4,1,0,0
57,26.488869068955843,0,1,0,0,0
36,14.459733365852788,0,1,0,1,0
45,28.879234473955975,0,2,0,1,0
20,14.118090727422434,1,0,0,0,0
1,16.728898693361206,1,0,0,0,0
8,23.723691348576597,0,0,0,0,0
46,25.151583477368355,1,0,0,0,0
16,12.98250491500756,1,0,0,0,0
14,14.536490683764569,0,5,0,1,0
12,21.38921404735924,1,2,0,0,0
51,31.72209693881898,0,0,1,0,0
23,26.231313904993403,1,1,0,0,0
15,18.75951475184095,1,3,0,1,0
28,7.904354309621219,0,1,0,0,0
34,20.408213672105795,0,1,0,0,0
2,21.81148401823277,0,0,0,0,0
32,18.08652429458598,0,1,0,0,0
23,15.746380047267023,1,0,0,1,0
22,20.79582630160694,1,0,0,0,0
51,15.288694030530195,0,1,1,1,0
25,29.36224330404362,1,1,0,1,0
58,27.583723987669085,0,0,0,0,0
22,23.289563157963805,0,3,0,0,0
58,20.44855284559658,0,2,0,1,0
58,16.6991795669322,0,1,0,0,0
22,19.896064080545493,1,2,1,1,0
49,28.19648567603638,1,2,0,1,0
52,24.343270292183142,0,3,0,1,0
42,21.018461392382296,0,2,0,0,0
6,24.619871670837977,0,1,0,0,0
15,22.72805331690414,1,1,0,1,0
54,21.981387699434357,1,2,0,0,0
43,24.902816294957677,0,1,0,0,0
37,22.58513822412379,1,1,0,0,0
33,24.292757350516894,0,0,0,0,0
8,20.806935248172547,0,0,0,0,0
53,18.729370884049484,0,1,0,0,0
44,17.259185605299255,0,2,1,0,0
44,16.663451972645206,1,3,0,0,0
5,11.974147787792337,1,1,0,0,0
39,15.440300265941678,0,0,0,0,0
4,15.295732352089093,1,3,0,1,0
6,17.46327402007982,0,1,0,0,0
45,27.811221053191456,1,1,0,0,0
32,19.212190222231115,0,0,0,0,0
52,21.20883444942155,0,2,0,0,0
30,21.366598222559634,0,2,1,1,0
47,27.937904564211834,0,0,0,0,0
35,17.122072730773542,0,4,1,0,1
55,18.887389598709692,0,2,0,0,0
40,19.469003141129082,0,0,1,0,0
52,25.68267427887384,0,1,0,0,0
16,26.720528468772272,1,1,0,1,0
13,22.372919098469723,1,2,0,0,0
50,26.164546870309398,1,0,0,0,0
42,20.888304982344945,0,1,0,0,0
30,19.13698376191589,0,1,0,0,0
19,25.89362043292811,1,2,0,0,0
17,22.438088376168988,1,0,0,0,0
56,16.32234667046209,0,2,0,0,0
19,24.987104690621756,0,3,0,1,0
28,18.957536844898602,0,3,0,1,0
58,18.345882386378978,1,1,0,1,0
55,24.46502184099856,0,1,1,0,0
26,19.555839295775435,0,3,0,0,0
37,21.94479268020145,0,4,0,0,0
26,23.309697920353997,1,1,0,1,0
53,16.08528460363808,0,1,0,0,0
23,21.92425282341101,0,2,0,1,0
9,26.74736552630812,0,2,0,0,0
12,15.21766428130195,1,4,0,0,0
53,22.24954444415614,0,1,0,1,0
1,15.852661327098563,1,2,0,0,0
58,25.10698841920199,0,0,0,0,0
58,25.059527918748856,1,0,0,0,0
1,18.228388298754506,0,2,0,0,0
47,31.048143260954312,0,0,0,0,0
34,25.53312654568642,0,0,0,1,0
32,23.534644925680844,0,2,0,0,0
54,23.25305448053068,0,3,1,0,0
48,24.91963454603112,0,2,0,0,0
25,15.0217879637792,1,3,0,1,0
40,20.97303799230512,0,1,0,0,0
45,21.91595192688664,1,1,0,1,0
53,17.9993196834872,1,1,0,0,0
1,22.323976347219826,0,1,0,1,0
16,26.15847150217003,0,1,0,1,0
39,17.891154561170467,1,3,0,0,0
5,19.727878498143472,0,1,0,0,0
22,15.897073520730277,0,0,0,0,0
29,11.065054950946038,1,0,0,0,0
55,23.894660902602553,0,1,0,0,0
3,19.871331025803762,1,2,0,1,0
12,20.23789708576394,0,2,0,0,0
26,15.066131909132366,1,0,0,0,0
16,19.072482354819044,0,1,0,1,0
51,25.482968945910617,0,1,0,0,0
37,20.0041066838973,1,0,0,0,0
22,20.145918790277065,1,0,0,0,0
57,21.037641389317113,0,3,0,0,0
29,13.81808935796772,1,1,0,0,0
14,23.124602320511784,1,3,0,0,0
28,13.724009425420846,0,2,0,0,0
5,15.301922093604869,0,0,0,0,1
47,14.753926154964176,0,1,0,0,0
49,19.123875166847274,1,1,0,0,0
30,18.237736482310712,0,2,0,1,0
46,19.993874808458727,0,1,0,0,0
52,15.473719201117785,0,2,0,1,0
5,25.02747660153189,1,0,0,0,0
12,24.170137843631654,1,2,0,0,0
16,19.130932435541396,1,1,0,1,0
26,17.60816641706031,0,2,0,0,0
26,17.103212533274004,1,3,0,0,0
48,18.449275024946605,1,0,0,0,0
21,12.998773856244117,1,1,0,1,0
39,15.201963438940798,1,0,0,0,0
36,24.300601959924833,1,1,0,0,0
33,21.509062430379345,0,4,0,0,0
30,28.171372429882652,0,0,0,0,0
37,18.504024249153392,1,1,0,1,0
23,18.192433864465663,0,0,0,0,0
58,17.96050537728176,0,3,0,0,0
10,18.404177583909156,0,0,0,1,0
54,16.70022993426701,1,3,0,0,0
5,21.354941073436,0,1,1,0,0
36,20.145520335742056,1,1,0,1,0
34,17.450427490808636,0,3,0,1,0
52,26.25574456509451,0,1,0,0,0
31,29.482914612431536,0,3,0,0,0
10,25.832886027867,0,3,0,0,0
58,22.790620065416974,0,0,0,1,0
19,23.80884863131887,1,1,0,0,0
58,29.282077589131674,0,4,0,0,0
32,23.80159657879712,1,2,0,0,0
1,17.074070737003577,1,1,0,0,0
56,21.96136263325274,1,1,0,1,0
5,23.13122133031659,1,1,1,1,0
45,15.0264136298204,1,2,0,0,0
4,18.57534590678411,1,0,0,1,0
16,25.50195912027733,1,2,0,0,0
24,10.882536324752069,1,0,0,0,0
16,13.74785727479703,1,0,0,0,0
55,19.11796473185836,1,0,0,0,0
2,21.768397977528522,0,1,1,0,0
49,13.211837775255464,0,0,1,0,0
28,19.366053741670292,0,2,0,1,0
32,25.768842695442835,1,1,0,0,0
27,20.34325728537142,1,2,0,1,0
20,24.695444718155652,0,0,0,1,0
24,17.039429393324983,1,5,0,0,0
12,15.950415716054092,1,3,1,0,0
50,24.24436915142524,1,1,0,0,0
35,21.84632767328095,0,2,0,0,0
33,14.072019961127705,1,2,0,0,0
33,15.995795419186056,1,2,0,0,0
51,27.822906205287072,0,1,0,1,0
43,15.37722390265342,0,1,0,1,0
37,24.67164373362999,0,2,0,0,0
12,17.6090665138315,1,1,1,1,0
3,19.984120716164345,1,2,0,0,1
1,21.47296310471686,0,2,0,0,0
33,9.495093947502006,0,0,0,0,0
40,12.686413322863505,0,2,0,0,0
10,20.431665093935813,0,1,0,0,0
43,16.3784621810806,1,0,0,0,0
44,24.98290647637311,0,1,0,0,0
29,11.969395595659376,0,1,0,0,0
13,22.826275281289934,1,3,0,1,0
12,13.118893897978369,1,2,0,1,0
31,18.239475029277855,1,2,1,0,0
46,14.67811117881018,0,1,0,0,0
2,29.512149402355988,0,1,0,0,0
51,13.302539185149822,1,0,0,0,0
50,19.389701523154883,0,1,0,0,0
35,11.36581925989924,0,2,0,0,0
23,27.99785061035295,0,2,0,0,0
17,22.006412080886026,0,2,0,1,0
26,20.68486544799334,0,1,0,1,0
8,27.371564696458627,0,1,0,1,0
29,20.73711220711306,1,2,0,0,0
26,21.097856780705385,1,1,0,0,0
10,20.658626440325758,0,0,0,0,0
26,22.818171627215598,0,1,0,0,0
34,17.537793080393687,0,1,0,0,0
51,18.928563463183337,0,1,1,0,0
41,24.05167314228723,1,6,0,0,0
7,21.38686475778941,1,2,0,0,0
4,19.428780429489372,0,1,0,1,0
58,12.997388044846439,0,0,0,0,0
53,27.490251422682977,0,1,0,0,0
50,16.692729450246148,1,1,1,1,0
45,24.936186192096287,1,1,0,1,0
11,20.878768258440427,0,3,1,0,0
29,13.53274738635065,1,2,0,0,0
56,26.261377387653077,0,0,0,0,0
36,21.2727032319977,0,1,0,1,0
25,26.67672678368521,0,1,0,0,0
21,19.087956496320405,1,2,0,0,0
57,23.520256149835273,1,1,0,0,0
36,11.18736444327493,0,1,0,0,0
10,17.498920682031216,1,1,0,1,0
37,13.635033338843641,0,2,0,1,0
9,18.12608074980804,1,2,0,1,0
24,22.359058697530724,1,0,0,0,0
35,16.977099561729272,0,1,0,1,0
49,24.31921046819391,0,1,0,0,0
35,15.716936782249944,1,0,0,0,0
48,24.42618306824989,0,2,0,1,0
36,26.548785829370182,0,3,0,0,0
